treat,village_code,female,bl_has_children,bl_own_livestock,bl_emp_self,bl_emp_wage,el_health_index
0,10101005,1,1,0,0,0,1.026443
0,10101005,1,0,0,0,0,.0007464
0,10101005,1,1,1,0,0,-.2177097
0,10101005,1,1,1,0,0,1.026443
0,10101005,1,1,0,1,0,1.026443
0,10101005,1,1,0,0,0,1.026443
0,10101005,0,1,1,0,0,.8835051
0,10101005,0,1,1,0,1,.1117854
0,10101007,1,1,1,0,0,-.4696154
0,10101007,1,1,1,1,0,-.6038473
0,10101007,1,1,0,0,0,-.2865744
0,10101007,0,0,0,0,1,1.013759
0,10101007,1,1,1,0,0,1.026443
0,10101012,0,0,0,0,1,1.013759
0,10101012,1,1,0,0,0,1.026443
0,10101012,1,1,0,0,0,-.5498024
0,10101012,1,1,0,0,1,-1.955554
0,10101012,1,1,0,0,1,-1.633404
0,10101012,0,0,0,0,1,1.013759
0,10101012,1,1,0,0,1,-.3850187
0,10101012,1,1,0,0,0,1.026443
0,10101012,0,1,1,1,0,.8585539
1,10101013,1,1,1,1,0,.0111845
1,10101013,1,1,0,0,0,.1815252
1,10101013,1,0,0,0,0,-3.718163
1,10101013,1,0,0,0,0,.0961761
1,10101013,0,1,0,0,1,.6727723
1,10101013,1,1,0,0,0,.2187131
0,10102004,1,1,0,0,0,-.1640373
0,10102004,1,1,0,0,0,.1087131
0,10102004,1,0,0,1,0,-.7229056
0,10102004,1,1,0,0,0,-3.336551
0,10102004,1,1,0,0,0,-.0403148
0,10102004,1,1,0,1,0,.5754559
0,10102004,1,1,0,1,0,1.026443
0,10102006,1,1,0,0,0,1.026443
0,10102006,0,0,1,0,0,.0091469
0,10102006,0,0,1,0,0,.9734992
0,10102006,0,0,0,1,0,-1.599043
0,10102006,1,1,0,1,0,1.026443
0,10102013,0,1,0,1,0,.5002069
0,10102013,0,1,0,0,0,.1117854
0,10102013,1,1,0,0,0,.5169553
0,10102013,1,1,1,0,1,.2235169
0,10102013,1,0,0,0,0,.9184762
0,10102013,0,1,0,0,1,-.509247
0,10102016,1,1,0,0,0,.1244689
0,10102016,1,1,0,0,0,1.026443
0,10102016,0,0,0,0,0,-1.023126
0,10102016,1,1,0,0,0,.105912
0,10102016,1,1,0,1,0,.1244689
0,10103004,1,1,0,1,0,.1087131
0,10103004,1,1,0,0,0,.5327111
0,10103004,1,1,1,1,0,-1.351807
0,10103004,1,1,0,0,0,-.0403148
0,10103004,1,1,0,1,0,.0817241
0,10103004,0,1,0,0,0,.407567
0,10103005,1,0,0,0,0,-.4498333
0,10103005,0,1,0,0,0,-.5569724
0,10103005,0,1,1,0,0,-.3954994
0,10103005,1,1,0,0,0,1.026443
0,10103005,1,1,0,0,0,.5327111
0,10103005,0,1,0,0,0,-.9976612
0,10103005,1,0,0,0,0,-1.937777
1,10103006,0,1,0,0,0,.968554
1,10103006,1,1,0,0,0,-1.36553
1,10103006,0,1,0,0,0,-2.031198
1,10103008,1,1,1,0,0,.8014657
1,10103008,1,1,0,1,0,.9935051
1,10103008,1,1,0,0,0,.0961761
1,10103008,1,1,0,0,0,1.136443
1,10103008,1,1,1,0,0,-.3825781
1,10103010,0,1,0,0,0,-1.900943
1,10103010,1,1,1,0,0,-.6696503
1,10103010,1,1,0,0,0,.2108457
1,10103010,0,1,0,0,0,.6727723
1,10103010,0,1,1,0,0,-.4184733
1,10103010,1,1,0,0,0,.2344689
1,10103010,1,0,0,0,0,.2874005
1,10103010,1,1,0,0,0,-.3264035
1,10103011,1,1,0,0,0,.2344689
1,10103011,1,1,0,0,0,.2344689
1,10103011,0,1,1,0,0,1.123759
1,10103011,1,1,0,0,0,-.235075
1,10103011,0,0,0,0,0,.6579323
1,10103011,0,1,0,0,0,-.4346246
1,10103011,1,1,0,1,0,.9554052
0,10104005,0,1,1,0,1,-.2577195
0,10104005,1,1,0,0,0,-.414366
